Vehicle_ID,xloc
438,1810.611175
438,1811.3766
438,1812.147575
438,1812.923575
438,1813.704575
438,1814.490575
438,1815.281575
438,1816.077575
438,1816.878575
438,1817.684575
488,1810.716125
488,1811.5235
488,1812.33395
488,1813.146975
488,1813.962525
488,1814.7811
488,1815.602225
488,1816.425875
488,1817.25255
488,1818.08225
510,1810.073775
510,1810.425
510,1810.758925
510,1811.07765
510,1811.383325
510,1811.6797
510,1811.971525
510,1812.26405
510,1812.56305
510,1812.874275
522,1810.14475
522,1810.88055
522,1811.62415
522,1812.37655
522,1813.1372
522,1813.903975
522,1814.6742
522,1815.4447
522,1816.21335
522,1816.978075
533,1810.3194
533,1810.8275
533,1811.337225
533,1811.848575
533,1812.36155
533,1812.877175
533,1813.395425
533,1813.9163
533,1814.440325
533,1814.967475
536,1810.011125
536,1810.45505
536,1810.897525
536,1811.338525
536,1811.77805
536,1812.21665
536,1812.655375
536,1813.095775
536,1813.538375
536,1813.9842
537,1810.917575
537,1812.0444
537,1813.1687
537,1814.289975
537,1815.408225
537,1816.52345
537,1817.63565
537,1818.744825
537,1819.850975
537,1820.9541
540,1810.182175
540,1811.332975
540,1812.4807
540,1813.62585
540,1814.768425
540,1815.90795
540,1817.044925
540,1818.179375
540,1819.3113
540,1820.4407
586,1810.3194
586,1810.8275
586,1811.337225
586,1811.848575
586,1812.36155
586,1812.877175
586,1813.395425
586,1813.9163
586,1814.440325
586,1814.967475
618,1856.9775
618,1857.901775
618,1858.8219
618,1859.737875
618,1860.6492
618,1861.555375
618,1862.4564
618,1863.3523
618,1864.243075
618,1865.128725
732,1811.0858
732,1812.23765
732,1813.3904
732,1814.54405
732,1815.6986
732,1816.854075
732,1818.0105
732,1819.167875
732,1820.3262
732,1821.486
788,1810.024225
788,1811.159275
788,1812.2953
788,1813.431775
788,1814.5682
788,1815.704575
788,1816.8404
788,1817.975675
788,1819.1109
788,1820.246075
856,1810.386575
856,1811.576075
856,1812.76755
856,1813.961475
856,1815.15785
856,1816.356175
856,1817.556475
856,1818.75875
856,1819.962975
856,1821.169175
899,1810.85825
899,1812.026
899,1813.191675
899,1814.355275
899,1815.5168
899,1816.676275
899,1817.8342
899,1818.9906
899,1820.1455
899,1821.2994
942,1810.07255
942,1811.35395
942,1812.633775
942,1813.911525
942,1815.18715
942,1816.46015
942,1817.73005
942,1818.99685
942,1820.26055
942,1821.521675
972,1810.182175
972,1811.332975
972,1812.4807
972,1813.62585
972,1814.768425
972,1815.90795
972,1817.044925
972,1818.179375
972,1819.3113
972,1820.4407
1008,1810.630325
1008,1811.66065
1008,1812.68695
1008,1813.70975
1008,1814.72905
1008,1815.74485
1008,1816.75765
1008,1817.767475
1008,1818.774325
1008,1819.778175
1046,1811.0722
1046,1812.243725
1046,1813.4147
1046,1814.585125
1046,1815.7545
1046,1816.922825
1046,1818.090125
1046,1819.2564
1046,1820.42165
1046,1821.585875
1062,1810.82295
1062,1811.89755
1062,1812.962075
1062,1814.01705
1062,1815.062475
1062,1816.097875
1062,1817.123775
1062,1818.140675
1062,1819.148575
1062,1820.1475
1836,1810.383
1836,1811.503375
1836,1812.6212
1836,1813.73645
1836,1814.849125
1836,1815.95875
1836,1817.0658
1836,1818.170275
1836,1819.2717
1836,1820.370075
1961,1810.182175
1961,1811.332975
1961,1812.4807
1961,1813.62585
1961,1814.768425
1961,1815.90795
1961,1817.044925
1961,1818.179375
1961,1819.3113
1961,1820.4407
1983,1810.917575
1983,1812.0444
