maneuver,segment_index,line_integral_value,lane
0,10,"[6.929081721635081e-06, 7.912880084919854e-07, 5.243963640427785e-07, 5.941532303603405e-08, 6.16046604772367e-09, 9.272444476474108e-09, 1.2976411744064173e-08, 1.7001989088141685e-08, 2.0668971281664192e-08, 2.3698680681572324e-08, 2.519779623911463e-08, 2.657485350010279e-08, 2.7816011025977838e-08, 2.9034352825290684e-08, 3.0233570230588646e-08, 3.147461655367251e-08, 3.277402536549687e-08, 3.41738835538127e-08, 3.5683269057084554e-08, 3.730843126363089e-08, 3.905186228824379e-08, 4.0922035828558525e-08, 4.292346722139852e-08, 4.5060437198376815e-08, 4.733547833062597e-08, 4.975215131035246e-08, 5.231505368551037e-08, 5.5029806705248865e-08, 5.7902178574347057e-08, 6.093704975249912e-08, 6.413752271108763e-08, 6.750446801718184e-08, 7.103596277282648e-08, 7.4727218159687e-08, 7.85710257212294e-08, 8.255866471876724e-08, 8.668193593848873e-08, 9.093499963930685e-08, 9.531687462123184e-08, 9.983268836287474e-08, 1.0449562023985454e-07, 1.0932953828767582e-07, 1.1437245493330287e-07, 1.1967801986350632e-07, 1.2531272233078162e-07, 1.3134588144843685e-07, 1.378357290736678e-07, 1.448158970622439e-07, 1.522879433665535e-07, 1.6022104069622773e-07]",2
0,11,"[7.172670322087287e-06, 7.923480160448611e-07, 4.786722928482549e-07, 4.5244723802884306e-08, 6.188844188497404e-09, 9.488079197542795e-09, 1.3278184011832e-08, 1.7397377960264928e-08, 2.1149637467287428e-08, 2.3698680681572327e-08, 2.5197796239114638e-08, 2.657485350010279e-08, 2.7816011025977835e-08, 2.9034352825290687e-08, 3.023357023058865e-08, 3.147461655367251e-08, 3.277402536549687e-08, 3.417388355381271e-08, 3.5683269057084554e-08, 3.73084312636309e-08, 3.905186228824379e-08, 4.0922035828558525e-08, 4.292346722139853e-08, 4.506043719837681e-08, 4.733547833062597e-08, 4.9752151310352474e-08, 5.2315053685510384e-08, 5.502980670524887e-08, 5.790217857434705e-08, 6.093704975249914e-08, 6.413752271108763e-08, 6.750446801718186e-08, 7.103596277282649e-08, 7.4727218159687e-08, 7.857102572122941e-08, 8.255866471876724e-08, 8.668193593848873e-08, 9.093499963930682e-08, 9.531687462123186e-08, 9.983268836287474e-08, 1.0449562023985454e-07, 1.0932953828767586e-07, 1.1437245493330289e-07, 1.1967801986350632e-07, 1.2531272233078162e-07, 1.3134588144843688e-07, 1.378357290736678e-07, 1.448158970622439e-07, 1.522879433665535e-07, 1.602210406962277e-07]",2
0,12,"[7.151303896060266e-06, 7.906135179470276e-07, 4.6621587671865655e-07, 4.208063099608499e-08, 6.1921463300908765e-09, 9.520937325812235e-09, 1.3324167649425092e-08, 1.7457626765559538e-08, 2.122288071076518e-08, 2.369868068157232e-08, 2.519779623911464e-08, 2.6574853500102788e-08, 2.781601102597783e-08, 2.9034352825290684e-08, 3.0233570230588646e-08, 3.147461655367251e-08, 3.277402536549688e-08, 3.41738835538127e-08, 3.5683269057084554e-08, 3.7308431263630906e-08, 3.905186228824379e-08, 4.0922035828558525e-08, 4.292346722139854e-08, 4.506043719837682e-08, 4.733547833062598e-08, 4.975215131035248e-08, 5.2315053685510384e-08, 5.502980670524886e-08, 5.7902178574347057e-08, 6.093704975249912e-08, 6.413752271108763e-08, 6.750446801718186e-08, 7.103596277282649e-08, 7.4727218159687e-08, 7.857102572122941e-08, 8.255866471876727e-08, 8.668193593848875e-08, 9.093499963930684e-08, 9.531687462123186e-08, 9.983268836287474e-08, 1.0449562023985451e-07, 1.0932953828767585e-07, 1.1437245493330289e-07, 1.196780198635063e-07, 1.2531272233078162e-07, 1.3134588144843685e-07, 1.3783572907366782e-07, 1.448158970622439e-07, 1.522879433665535e-07, 1.602210406962277e-07]",2
0,13,"[7.286118252776436e-06, 7.891822302006081e-07, 4.354826414091673e-07, 3.473575160291773e-08, 6.2424645918992695e-09, 9.652183091563254e-09, 1.3507840818576614e-08, 1.7698279519131965e-08, 2.151543735379415e-08, 2.3698680681572324e-08, 2.5197796239114634e-08, 2.6574853500102788e-08, 2.781601102597783e-08, 2.903435282529069e-08, 3.023357023058865e-08, 3.14746165536725e-08, 3.277402536549687e-08, 3.41738835538127e-08, 3.5683269057084554e-08, 3.730843126363089e-08, 3.905186228824379e-08, 4.0922035828558525e-08, 4.2923467221398524e-08, 4.5060437198376815e-08, 4.7335478330625964e-08, 4.9752151310352474e-08, 5.231505368551038e-08, 5.5029806705248865e-08, 5.790217857434705e-08, 6.093704975249914e-08, 6.413752271108762e-08, 6.750446801718185e-08, 7.103596277282649e-08, 7.4727218159687e-08, 7.857102572122941e-08, 8.255866471876724e-08, 8.668193593848875e-08, 9.093499963930682e-08, 9.531687462123183e-08, 9.983268836287474e-08, 1.0449562023985454e-07, 1.0932953828767585e-07, 1.1437245493330287e-07, 1.196780198635063e-07, 1.2531272233078162e-07, 1.3134588144843685e-07, 1.378357290736678e-07, 1.4481589706224394e-07, 1.5228794336655348e-07, 1.6022104069622773e-07]",2
0,14,"[7.268220189162299e-06, 7.843819924021998e-07, 4.2562520642112817e-07, 3.292905724111356e-08, 6.222705067970703e-09, 9.631212433585105e-09, 1.3478493230355269e-08, 1.7659827643178595e-08, 2.146869219264353e-08, 2.3698680681572327e-08, 2.5197796239114638e-08, 2.6574853500102788e-08, 2.7816011025977835e-08, 2.903435282529068e-08, 3.023357023058865e-08, 3.147461655367251e-08, 3.277402536549687e-08, 3.41738835538127e-08, 3.5683269057084554e-08, 3.73084312636309e-08, 3.90518622882438e-08, 4.092203582855852e-08, 4.292346722139853e-08, 4.5060437198376815e-08, 4.733547833062597e-08, 4.9752151310352474e-08, 5.231505368551038e-08, 5.502980670524886e-08, 5.790217857434706e-08, 6.093704975249914e-08, 6.413752271108762e-08, 6.750446801718185e-08, 7.103596277282648e-08, 7.4727218159687e-08, 7.857102572122938e-08, 8.255866471876725e-08, 8.668193593848875e-08, 9.093499963930684e-08, 9.531687462123183e-08, 9.983268836287474e-08, 1.0449562023985453e-07, 1.0932953828767585e-07, 1.143724549333029e-07, 1.1967801986350632e-07, 1.253127223307816e-07, 1.3134588144843688e-07, 1.378357290736678e-07, 1.448158970622439e-07, 1.5228794336655348e-07, 1.6022104069622776e-07]",2
0,15,"[7.267789563846725e-06, 7.802003778536573e-07, 4.1342802938936767e-07, 3.065423618401967e-08, 6.216531884766197e-09, 9.633111443601804e-09, 1.3481150819739982e-08, 1.766330967708834e-08, 2.147292523023161e-08, 2.369868068157232e-08, 2.519779623911463e-08, 2.6574853500102788e-08, 2.7816011025977835e-08, 2.903435282529069e-08, 3.023357023058865e-08, 3.147461655367251e-08, 3.277402536549688e-08, 3.41738835538127e-08, 3.5683269057084554e-08, 3.73084312636309e-08, 3.9051862288243784e-08, 4.092203582855852e-08, 4.292346722139853e-08, 4.5060437198376815e-08, 4.7335478330625964e-08, 4.9752151310352474e-08, 5.231505368551038e-08, 5.502980670524886e-08, 5.790217857434706e-08, 6.093704975249915e-08, 6.413752271108762e-08, 6.750446801718185e-08, 7.103596277282649e-08, 7.4727218159687e-08, 7.857102572122941e-08, 8.255866471876724e-08, 8.668193593848875e-08, 9.093499963930684e-08, 9.531687462123184e-08, 9.983268836287472e-08, 1.0449562023985451e-07, 1.0932953828767586e-07, 1.1437245493330291e-07, 1.1967801986350632e-07, 1.2531272233078164e-07, 1.3134588144843685e-07, 1.3783572907366782e-07, 1.448158970622439e-07, 1.5228794336655348e-07, 1.6022104069622773e-07]",2
0,16,"[7.2290519228853415e-06, 7.746660999730611e-07, 4.072484563963085e-07, 2.977357173091831e-08, 6.181768006141865e-09, 9.582593659176872e-09, 1.3410453218922562e-08, 1.757068007644351e-08, 2.1360317314438078e-08, 2.369868068157232e-08, 2.519779623911464e-08, 2.6574853500102788e-08, 2.781601102597783e-08, 2.9034352825290684e-08, 3.023357023058865e-08, 3.147461655367251e-08, 3.277402536549687e-08, 3.4173883553812704e-08, 3.568326905708455e-08, 3.730843126363089e-08, 3.9051862288243784e-08, 4.0922035828558525e-08, 4.2923467221398524e-08, 4.5060437198376815e-08, 4.733547833062597e-08, 4.975215131035248e-08, 5.231505368551037e-08, 5.5029806705248865e-08, 5.790217857434705e-08, 6.093704975249912e-08, 6.413752271108763e-08, 6.750446801718184e-08, 7.103596277282649e-08, 7.472721815968698e-08, 7.857102572122941e-08, 8.255866471876727e-08, 8.668193593848873e-08, 9.093499963930684e-08, 9.531687462123184e-08, 9.983268836287474e-08, 1.0449562023985451e-07, 1.0932953828767582e-07, 1.1437245493330287e-07, 1.1967801986350632e-07, 1.2531272233078162e-07, 1.3134588144843683e-07, 1.378357290736678e-07, 1.448158970622439e-07, 1.5228794336655348e-07, 1.602210406962277e-07]",2
0,17,"[6.783218822425827e-06, 7.764502957684874e-07, 4.3955982846715043e-07, 3.675045124082087e-08, 6.116223228562301e-09, 9.439945071292184e-09, 1.3210822268358363e-08, 1.7309119075599002e-08, 2.1042342941743702e-08, 2.369868068157232e-08, 2.5197796239114634e-08, 2.6574853500102788e-08, 2.7816011025977835e-08, 2.9034352825290684e-08, 3.023357023058865e-08, 3.1474616553672515e-08, 3.277402536549688e-08, 3.41738835538127e-08, 3.568326905708456e-08, 3.73084312636309e-08, 3.905186228824379e-08, 4.0922035828558525e-08, 4.292346722139853e-08, 4.5060437198376815e-08, 4.7335478330625964e-08, 4.9752151310352474e-08, 5.2315053685510384e-08, 5.502980670524886e-08, 5.790217857434705e-08, 6.093704975249914e-08, 6.413752271108764e-08, 6.750446801718185e-08, 7.103596277282649e-08, 7.4727218159687e-08, 7.857102572122941e-08, 8.255866471876727e-08, 8.668193593848873e-08, 9.093499963930684e-08, 9.531687462123184e-08, 9.983268836287474e-08, 1.0449562023985453e-07, 1.0932953828767583e-07, 1.1437245493330289e-07, 1.1967801986350635e-07, 1.253127223307816e-07, 1.3134588144843685e-07, 1.378357290736678e-07, 1.448158970622439e-07, 1.522879433665535e-07, 1.602210406962277e-07]",2
0,18,"[6.831282719756763e-06, 7.66487668349242e-07, 4.2865200606039153e-07, 3.503561995397012e-08, 6.049570408578981e-09, 9.345618567767199e-09, 1.3078816134252424e-08, 1.7136161643613724e-08, 2.0832082120135044e-08, 2.3698680681572327e-08, 2.5197796239114634e-08, 2.6574853500102795e-08, 2.781601102597784e-08, 2.903435282529069e-08, 3.023357023058865e-08, 3.147461655367251e-08, 3.277402536549688e-08, 3.41738835538127e-08, 3.568326905708455e-08, 3.730843126363089e-08, 3.905186228824379e-08, 4.0922035828558525e-08, 4.2923467221398544e-08, 4.506043719837682e-08, 4.733547833062597e-08, 4.975215131035248e-08, 5.2315053685510384e-08, 5.5029806705248865e-08, 5.7902178574347076e-08, 6.093704975249912e-08, 6.413752271108763e-08, 6.750446801718185e-08, 7.103596277282649e-08, 7.472721815968701e-08, 7.85710257212294e-08, 8.255866471876727e-08, 8.668193593848876e-08, 9.093499963930684e-08, 9.531687462123186e-08, 9.983268836287474e-08, 1.0449562023985454e-07, 1.0932953828767586e-07, 1.1437245493330291e-07, 1.196780198635063e-07, 1.253127223307816e-07, 1.3134588144843688e-07, 1.3783572907366782e-07, 1.4481589706224394e-07, 1.522879433665535e-07, 1.6022104069622773e-07]",2
0,19,"[6.568882683415495e-06, 7.568821374722422e-07, 4.53411448498155e-07, 4.2164100151730744e-08, 5.917152640492355e-09, 9.081570881813028e-09, 1.2709292030751295e-08, 1.665200277909515e-08, 2.024350006572842e-08, 2.3698680681572324e-08, 2.5197796239114634e-08, 2.6574853500102788e-08, 2.781601102597783e-08, 2.903435282529068e-08, 3.0233570230588646e-08, 3.147461655367251e-08, 3.277402536549687e-08, 3.41738835538127e-08, 3.568326905708455e-08, 3.730843126363089e-08, 3.905186228824379e-08, 4.092203582855852e-08, 4.2923467221398524e-08, 4.506043719837681e-08, 4.7335478330625964e-08, 4.975215131035248e-08, 5.2315053685510384e-08, 5.502980670524886e-08, 5.7902178574347057e-08, 6.093704975249914e-08, 6.413752271108762e-08, 6.750446801718185e-08, 7.103596277282649e-08, 7.4727218159687e-08, 7.85710257212294e-08, 8.255866471876725e-08, 8.668193593848875e-08, 9.093499963930681e-08, 9.531687462123184e-08, 9.983268836287474e-08, 1.0449562023985454e-07, 1.0932953828767583e-07, 1.143724549333029e-07, 1.196780198635063e-07, 1.253127223307816e-07, 1.3134588144843683e-07, 1.378357290736678e-07, 1.448158970622439e-07, 1.5228794336655345e-07, 1.602210406962277e-07]",2
