maneuver,mux,muy,sigx,sigy,time
2,146.24548,-11.207471,0.01106,0.0404755,9.0
2,146.22484,-11.193603,0.011159881,0.04075058,9.200000000000001
2,146.21275,-11.181571,0.011251937,0.041025035,9.4
2,146.2053,-11.170753,0.011339029,0.04130016,9.600000000000001
2,146.2003,-11.160752,0.011422727,0.041576065,9.8
3,-2.9231489,0.9381522,0.7293201,1.1115968,0.0
3,-3.7581294,-0.87640977,0.67644256,1.7884295,0.2
3,3.5494835,-0.43322003,0.4391492,1.2984036,0.4
3,9.1286545,-0.31672186,0.36821213,1.1393976,0.6000000000000001
3,13.800283,-0.06231434,0.29862195,0.93320036,0.8
3,16.812262,0.18460998,0.24407874,0.7545017,1.0
3,19.638533,-3.425032e-05,0.19982721,0.60241306,1.2000000000000002
3,22.604883,-0.27583447,0.16984165,0.48402557,1.4000000000000001
3,25.615446,-0.43582875,0.14901493,0.41317734,1.6
3,28.559,-0.49181738,0.13612874,0.36335093,1.8
3,31.36096,-0.44600108,0.13161482,0.32700074,2.0
3,33.88268,-0.3558333,0.12578566,0.29349655,2.2
3,37.017178,-0.360088,0.107837,0.25894803,2.4000000000000004
3,39.60197,-0.40358984,0.09482202,0.2377756,2.6
3,42.11085,-0.5888146,0.08697576,0.2290965,2.8000000000000003
3,45.14682,-0.7339078,0.08326146,0.22646853,3.0
3,48.552464,-0.9666289,0.0850486,0.23559523,3.2
3,51.348644,-1.0809697,0.07326982,0.2090474,3.4000000000000004
3,54.502747,-1.2513747,0.06887511,0.19234341,3.6
3,58.871033,-1.6304058,0.06629932,0.17309153,3.8000000000000003
3,63.512238,-2.1054943,0.06274836,0.15275118,4.0
3,69.01832,-2.694182,0.059930287,0.1481949,4.2
3,72.50433,-2.91146,0.057136055,0.14100294,4.4
3,76.06716,-3.4235861,0.05340181,0.13619591,4.6000000000000005
3,80.2934,-3.7916875,0.050313544,0.1274623,4.800000000000001
3,83.98461,-3.9588995,0.0477895,0.114471525,5.0
3,87.17893,-4.0607667,0.045886822,0.10303837,5.2
3,90.20655,-4.240072,0.045761738,0.097814076,5.4
3,92.89501,-4.597074,0.046317913,0.096522965,5.6000000000000005
3,95.91486,-5.12967,0.047274895,0.097004674,5.800000000000001
3,98.7859,-5.569758,0.046550088,0.095191255,6.0
3,100.84345,-5.8199,0.043353062,0.09085587,6.2
3,102.57157,-5.9953065,0.039829776,0.0864753,6.4
3,104.26302,-6.1563115,0.036870692,0.082877,6.6000000000000005
3,106.159096,-6.338952,0.034524765,0.08026954,6.800000000000001
3,108.696625,-6.5891986,0.032909613,0.07887932,7.0
3,112.465126,-6.9299016,0.032050345,0.07831233,7.2
