lane,time,xloc,yloc,muX,muY,sigX,sigY,line_integral
2,209.50886075949367,163.825751,28.309071,-2.084437608718872,100.11339569091797,0.5604130625724792,0.06423896551132202,1.7895244862107536e-05
2,209.94810126582277,164.11365,28.667262,-2.098640203475952,103.41424560546875,0.5377946496009827,0.061506547033786774,1.7895244862107536e-05
2,210.3873417721519,164.385522,29.018328,-2.111839771270752,106.724853515625,0.5175976157188416,0.05896821618080139,1.7895244862107536e-05
2,210.826582278481,164.652798,29.355712,-2.1244020462036133,110.04003143310547,0.49958091974258423,0.05661185085773468,1.7895244862107536e-05
2,211.26582278481013,164.912093,29.684589,-2.136629581451416,113.35565185546875,0.4834791123867035,0.0544230081140995,1.7895244862107536e-05
2,211.70506329113923,165.158652,30.002455,-2.148740291595459,116.66800689697266,0.4690396785736084,0.05238710716366768,1.7895244862107533e-05
2,212.14430379746835,165.40014,30.314348,-2.160871982574463,119.97395324707031,0.45603451132774353,0.05049004405736923,1.7895244862107536e-05
2,212.58354430379745,165.629748,30.613595,-2.1730995178222656,123.27075958251953,0.4442605674266815,0.04871863126754761,1.7895244862107536e-05
2,213.02278481012658,165.860205,30.905015,-2.1854419708251953,126.55648040771484,0.43353405594825745,0.0470600351691246,1.7895244862107536e-05
2,191.5,146.41715,5.948182,-0.100320003926754,2.300845146179199,9.651394844055176,4.177255153656006,0.05926449706881256
2,191.93924050632913,146.797138,6.448894,-0.22171279788017273,3.9021339416503906,4.037420272827148,2.063269853591919,0.05851831301550442
2,192.37848101265823,147.198514,6.959044,-0.35589101910591125,6.223224639892578,2.367725372314453,1.2440310716629028,0.0584988106195388
2,192.81772151898736,147.607212,7.48813,-0.5617821216583252,8.625465393066406,1.7274165153503418,0.9004828929901123,0.05848111767304156
2,193.25696202531645,148.026187,8.037412,-0.803791880607605,10.371526718139648,1.3643327951431274,0.6946775913238525,0.05755003159551767
2,193.69620253164558,148.457789,8.599205,-1.060343623161316,12.306849479675293,1.1348178386688232,0.5560683012008667,0.05353819314958224
2,194.13544303797468,148.906711,9.177296,-1.3313883543014526,14.282190322875977,0.9596635103225708,0.45610228180885315,0.051998283277520554
2,194.5746835443038,149.367339,9.767884,-1.6231848001480103,16.375625610351562,0.8202155828475952,0.3813282549381256,0.05194292391597767
2,195.0139240506329,149.838446,10.379919,-1.9505308866500854,18.560638427734375,0.6996353268623352,0.32130521535873413,0.05190232877893201
2,195.45316455696204,150.31573,11.006912,-2.3359334468841553,20.843250274658203,0.5958768129348755,0.27147597074508667,0.04993922190102871
2,195.89240506329114,150.815164,11.644975,-2.8005967140197754,23.216651916503906,0.5126492977142334,0.22858378291130066,0.045969782711234565
2,196.33164556962026,151.316612,12.294448,-3.349632740020752,25.516197204589844,0.44917207956314087,0.19117937982082367,0.04541709874549222
2,196.77088607594936,151.832907,12.956553,-3.9637856483459473,27.753997802734375,0.40138205885887146,0.15982656180858612,0.04540960023629632
2,197.2101265822785,152.349437,13.622159,-4.6111884117126465,30.19159698486328,0.3649628758430481,0.13602246344089508,0.0446948674021286
2,197.6493670886076,152.874533,14.295816,-5.269647598266602,32.89799880981445,0.33746618032455444,0.11977989971637726,0.04033189996059179
2,198.08860759493672,153.398463,14.968029,-5.924196243286133,35.8560791015625,0.3165079653263092,0.10885027050971985,0.03892794516752635
2,198.52784810126582,153.922497,15.640374,-6.562641143798828,39.01621627807617,0.2998190224170685,0.10125352442264557,0.03891420292654675
2,198.96708860759495,154.443783,16.309193,-7.176870346069336,42.279911041259766,0.2865363657474518,0.09551216661930084,0.038463569039798494
2,199.40632911392404,154.945375,16.977186,-7.7621026039123535,45.582679748535156,0.27670231461524963,0.09075316041707993,0.034064329809320094
2,199.84556962025317,155.446061,17.635401,-8.317172050476074,48.91381072998047,0.2707323431968689,0.08661503344774246,0.03247271800433214
2,200.28481012658227,155.930016,18.276977,-8.84329891204834,52.29026412963867,0.26940950751304626,0.0830126404762268,0.03244761781977201
2,200.7240506329114,156.404006,18.908686,-9.341846466064453,55.726280212402344,0.27356570959091187,0.07990068197250366,0.031985616550327445
2,201.1632911392405,156.872019,19.508625,-9.812678337097168,59.21562576293945,0.28334668278694153,0.07717134803533554,0.028498808614147213
2,201.60253164556963,157.323171,20.098665,-10.254152297973633,62.73031997680664,0.29771170020103455,0.07466404885053635,0.026100322653505165
2,202.04177215189873,157.763589,20.660855,-10.664263725280762,66.23936462402344,0.31478777527809143,0.07224473357200623,0.026007206236263077
2,202.48101265822785,158.201205,21.202111,-11.04205322265625,69.73116302490234,0.3327115476131439,0.06986147910356522,0.02599135119841356
2,202.92025316455695,158.617039,21.728244,-11.388154983520508,73.22161102294922,0.35020360350608826,0.0675184577703476,0.025371059691265734
2,203.35949367088608,159.027983,22.240153,-11.704366683959961,76.74691772460938,0.3666549623012543,0.06522662937641144,0.02236613716036668
2,203.79873417721518,159.423253,22.736409,-11.993265151977539,80.34024047851562,0.38187703490257263,0.06298346817493439,0.019870222712078313
2,204.2379746835443,159.816624,23.221214,-12.258390426635742,84.00658416748047,0.3957873284816742,0.06078961119055748,0.019581713454188417
2,204.6772151898734,160.187068,23.700293,-12.504483222961426,87.74031829833984,0.4083181917667389,0.05866684392094612,0.019573038586035783
2,205.11645569620254,160.555653,24.169059,-12.736268997192383,91.53775787353516,0.41937682032585144,0.056613605469465256,0.01946515087438999
2,205.55569620253164,160.918826,24.623519,-12.95701789855957,95.40243530273438,0.42878833413124084,0.05460807681083679,0.018147370226511795
2,205.99493670886076,161.268752,25.072701,-13.168519973754883,99.34886932373047,0.43635573983192444,0.052627529948949814,0.014969782694577074
2,206.43417721518986,161.617293,25.511441,-13.371376037597656,103.39350891113281,0.44196683168411255,0.050650160759687424,0.013385073429302636
2,206.873417721519,161.948268,25.94172,-13.565176010131836,107.54662322998047,0.4456864297389984,0.04866044968366623,0.01313501075163646
2,207.3126582278481,162.286492,26.360925,-13.74881649017334,111.80811309814453,0.4477667212486267,0.04664435237646103,0.013128837548511282
2,207.75189873417722,162.610011,26.765028,-13.920862197875977,116.16751861572266,0.44856682419776917,0.0445932075381279,0.013120790458036633
2,208.19113924050632,162.92686,27.170366,-14.079973220825195,120.6067886352539,0.4484642744064331,0.042514264583587646,0.012922305496927855
2,208.63037974683544,163.233791,27.557005,-14.225199699401855,125.10270690917969,0.4478297829627991,0.040434181690216064,0.011669923949564091
2,209.06962025316454,163.536155,27.939804,-14.356039047241211,129.62930297851562,0.447040319442749,0.0383903943002224,0.009286483202622495
2,209.50886075949367,163.825751,28.309071,-14.47237777709961,134.1618194580078,0.44643691182136536,0.036420151591300964,0.007345196998654465
2,209.94810126582277,164.11365,28.667262,-14.57435417175293,138.68028259277344,0.4462423324584961,0.034554969519376755,0.00670204916777955
2,210.3873417721519,164.385522,29.018328,-14.662178039550781,143.1710662841797,0.44648173451423645,0.032816000282764435,0.00664172206803992
