lane,time,xloc,yloc,maneuver,muX,muY,sigX,sigY,line_integral_values
-2,4.7,"(153.20977500000004, 154.01250000000005)","(-2.3100000000000023, -2.3600000000000136)",2,142.68767,-13.751414,0.020634655,0.27337837,0.0
-2,4.8,"(154.01250000000005, 154.8137999999999)","(-2.3600000000000136, -2.410000000000025)",2,148.04675,-13.798851,0.020096628,0.26557016,0.0
-2,4.9,"(154.8137999999999, 155.61417499999993)","(-2.410000000000025, -2.450000000000017)",2,155.15498,-13.837038,0.019608721,0.25010931,0.0
-2,0.0,"(112.0178249999999, 112.96997499999998)","(-0.660000000000025, -0.6899999999999977)",3,0.70210624,0.036382347,1.1611704,5.743541,0.0
-2,0.1,"(112.96997499999998, 113.92055000000005)","(-0.6899999999999977, -0.7300000000000182)",3,3.179533,0.11149791,0.70372874,2.6269903,0.0
-2,0.2,"(113.92055000000005, 114.86905000000002)","(-0.7300000000000182, -0.7700000000000102)",3,4.7080245,0.28637052,0.4461827,1.6077592,0.0
-2,0.3,"(114.86905000000002, 115.814975)","(-0.7700000000000102, -0.8000000000000114)",3,6.707935,0.53967613,0.31652993,1.2123629,0.0
-2,0.4,"(115.814975, 116.75832500000001)","(-0.8000000000000114, -0.8300000000000125)",3,8.32308,0.8306193,0.2519556,0.9794449,0.0
-2,0.5,"(116.75832500000001, 117.699075)","(-0.8300000000000125, -0.8700000000000045)",3,10.259703,1.1404681,0.21787567,0.8602001,0.0
-2,0.6,"(117.699075, 118.63674999999989)","(-0.8700000000000045, -0.9000000000000057)",3,12.388791,1.4659435,0.19476153,0.78344965,0.0
-2,0.7,"(118.63674999999989, 119.57134999999994)","(-0.9000000000000057, -0.9300000000000068)",3,14.678224,1.8129394,0.17551027,0.7215899,0.0
-2,0.8,"(119.57134999999994, 120.50285000000008)","(-0.9300000000000068, -0.9699999999999989)",3,17.155764,2.1885247,0.15817903,0.6667525,0.0
-2,0.9,"(120.50285000000008, 121.43077500000004)","(-0.9699999999999989, -1.0)",3,19.835655,2.5982542,0.14231057,0.6161326,0.0
-2,1.0,"(121.43077500000004, 122.35512500000004)","(-1.0, -1.0300000000000011)",3,22.726883,3.0464807,0.12779337,0.5687865,0.0
